req_id,source,function,requirement,trust_sub,integration_sub,Single-Agent Orchestration Pattern,Multi-Agent Orchestration Pattern,Tool-Use Boundaries & Least-Privilege Access,Human-in-the-Loop Approval Gates,Nondeterminism Controls & Output Validation,RAG Architecture & Data Grounding,GenAIOps / MLOps Lifecycle Governance,Evaluation & Monitoring Infrastructure,Prompt Management & Secret Handling,Scalable Modular Architecture (Archetypes),AI Risk Policy & Accountability Structures,Threat Modeling & Red-Teaming,Incident Response & Recovery Playbooks,Audit Logging & Telemetry,Regulatory Compliance Documentation,Supply Chain & Vendor Risk Controls,Data Governance & Access Controls,Human Override & Control Mechanisms
NIST-GV-1,NIST AI RMF 1.0,GOVERN,"Policies, processes, procedures and practices for mapping, measuring, and managing AI risks are in place, transparent, and implemented effectively.",AI Risk Policy & Accountability,Governance-as-Code / Policy Enforcement,,,,,,,X,,,,X,,,,X,,,
NIST-GV-2,NIST AI RMF 1.0,GOVERN,Accountability structures empower appropriate teams and individuals for AI risk management.,AI Governance Accountability Structures,Role-Based Access & Identity Controls,,,X,X,,,,,,,X,,,,,,,
NIST-GV-3,NIST AI RMF 1.0,GOVERN,Organizational culture considers and communicates AI risk.,AI Risk Culture & Communication,Human-in-the-Loop Design,,,,X,,,,,,,,,X,,,,,X
NIST-GV-4,NIST AI RMF 1.0,GOVERN,Organizational teams are committed to a culture that considers AI risk.,Organizational AI Risk Culture,Change Management & GenAIOps,,,,,,,X,,,,X,,,,,,,
NIST-GV-5,NIST AI RMF 1.0,GOVERN,Senior leadership and board members understand and contribute to AI risk management.,Board & CIO AI Risk Oversight,AI Orientation Strategic Alignment,,,,,,,,,,,X,,,,X,,,
NIST-GV-6,NIST AI RMF 1.0,GOVERN,"Policies address AI risks from third-party software, data, and supply chain.",AI Supply Chain Risk Management,Resource & Supply Chain Controls,,,X,,,,,,,,,,,,,X,X,
NIST-MP-1,NIST AI RMF 1.0,MAP,"Context established for AI system risks through understanding of intended purpose, impacts, and deployment context.",AI System Risk Contextualization,Requirements-Driven Agent Pattern Selection,X,X,,,,,,,,,,X,,,,,,
NIST-MP-2,NIST AI RMF 1.0,MAP,Scientific findings and organizational practices integrated to characterize AI risks.,Threat Intelligence Integration,Adversarial Threat Modeling for Agentic Systems,,,,,,,,X,,,,X,,,,,,
NIST-MP-3,NIST AI RMF 1.0,MAP,AI risks and benefits mapped and prioritized by likelihood and magnitude of impact.,AI Risk Prioritization,Risk-Based Architecture Decisions,,,,,,,,X,,,X,X,,,,,,
NIST-MP-4,NIST AI RMF 1.0,MAP,Risks and benefits understood by the organization and relevant AI actors.,Stakeholder Risk Communication,Transparency & Explainability Controls,,,,X,,,,,,,,,,X,X,,,
NIST-MP-5,NIST AI RMF 1.0,MAP,Practices and personnel for supporting AI risk identification are in place.,AI Risk Identification Capability,Eval & Red-Teaming Pipelines,,,,,,,X,X,,,,X,,,,,,
NIST-MS-1,NIST AI RMF 1.0,MEASURE,AI risk measurement approaches are identified and applied.,AI Risk Metrics & KPIs,Evaluation & Monitoring Architecture,,,,,,,,X,,,,,,X,,,,
NIST-MS-2,NIST AI RMF 1.0,MEASURE,AI system evaluated for trustworthy characteristics.,Trustworthiness Evaluation,LLM Evaluation Gates & Benchmarks,,,,,X,,,X,,,,X,,,,,,
