case_id,name,summary,type,n_tactics,n_techniques,n_mitigations,tactics,techniques,mitigations,mckinsey_constraints_touched
AML.CS0000,Evasion of Deep Learning Detector for Malware C&C Traffic,"The Palo Alto Networks Security AI research team tested a deep learning model for malware command and control (C&C) traffic detection in HTTP traffic.
Based on the publicly available [paper by Le et al.](https://arxiv.org/abs/1802.03162), we built a model that was trained on a similar dataset as our",,4,6,0,{{defense_evasion.id}}|{{ml_attack_staging.id}}|{{reconnaissance.id}}|{{resource_development.id}},{{acquire_ml_artifacts_data.id}}|{{craft_adv_manual.id}}|{{evade_model.id}}|{{train_proxy_model.id}}|{{verify_attack.id}}|{{victim_research_preprint.id}},,
AML.CS0001,Botnet Domain Generation Algorithm (DGA) Detection Evasion,"The Palo Alto Networks Security AI research team was able to bypass a Convolutional Neural Network based botnet Domain Generation Algorithm (DGA) detector using a generic domain name mutation technique.
It is a generic domain mutation technique which can evade most ML-based DGA detection modules.
Th",,4,6,0,{{defense_evasion.id}}|{{ml_attack_staging.id}}|{{reconnaissance.id}}|{{resource_development.id}},{{acquire_ml_artifacts.id}}|{{craft_adv_blackbox.id}}|{{develop_advml.id}}|{{evade_model.id}}|{{verify_attack.id}}|{{victim_research.id}},,
AML.CS0002,VirusTotal Poisoning,McAfee Advanced Threat Research noticed an increase in reports of a certain ransomware family that was out of the ordinary. Case investigation revealed that many samples of that particular ransomware family were submitted through a popular virus-sharing platform within a short amount of time. Furthe,,4,4,0,{{initial_access.id}}|{{ml_attack_staging.id}}|{{persistence.id}}|{{resource_development.id}},{{craft_adv.id}}|{{obtain_advml.id}}|{{poison_data.id}}|{{supply_chain_data.id}},,
AML.CS0003,Bypassing Cylance's AI Malware Detection,Researchers at Skylight were able to create a universal bypass string that evades detection by Cylance's AI Malware detector when appended to a malicious file.,,6,6,0,{{defense_evasion.id}}|{{discovery.id}}|{{ml_attack_staging.id}}|{{ml_model_access.id}}|{{reconnaissance.id}}|{{resource_development.id}},AML.T0063|{{craft_adv_manual.id}}|{{develop_advml.id}}|{{evade_model.id}}|{{ml_service.id}}|{{victim_research.id}},,
AML.CS0004,Camera Hijack Attack on Facial Recognition System,"This type of camera hijack attack can evade the traditional live facial recognition authentication model and enable access to privileged systems and victim impersonation.

Two individuals in China used this attack to gain access to the local government's tax system. They created a fake shell company",,5,8,0,{{impact.id}}|{{initial_access.id}}|{{ml_model_access.id}}|{{reconnaissance.id}}|{{resource_development.id}},AML.T0087|{{acquire_hw.id}}|{{establish_accounts.id}}|{{evade_model.id}}|{{harm_financial.id}}|{{ml_service.id}}|{{obtain_advml.id}}|{{obtain_tool.id}},,
AML.CS0005,Attack on Machine Translation Services,"Machine translation services (such as Google Translate, Bing Translator, and Systran Translate) provide public-facing UIs and APIs.
A research group at UC Berkeley utilized these public endpoints to create a replicated model with near-production state-of-the-art translation quality.
Beyond demonstra",,5,9,0,{{impact.id}}|{{ml_attack_staging.id}}|{{ml_model_access.id}}|{{reconnaissance.id}}|{{resource_development.id}},{{acquire_ml_artifacts_data.id}}|{{acquire_ml_artifacts_model.id}}|{{craft_adv_transfer.id}}|{{erode_integrity.id}}|{{evade_model.id}}|{{inference_api.id}}|{{ip_theft.id}}|{{replicate_model.id}}|{{victim_research.id}},,
AML.CS0006,ClearviewAI Misconfiguration,"Clearview AI makes a facial recognition tool that searches publicly available photos for matches.  This tool has been used for investigative purposes by law enforcement agencies and other parties.

Clearview AI's source code repository, though password protected, was misconfigured to allow an arbitr",,3,4,0,{{collection.id}}|{{impact.id}}|{{resource_development.id}},{{acquire_ml_artifacts.id}}|{{erode_integrity.id}}|{{establish_accounts.id}}|{{info_repos.id}},,
AML.CS0007,GPT-2 Model Replication,"OpenAI built GPT-2, a language model capable of generating high quality text samples. Over concerns that GPT-2 could be used for malicious purposes such as impersonating others, or generating misleading news articles, fake social media content, or spam, OpenAI adopted a tiered release schedule. They",,3,5,0,{{ml_attack_staging.id}}|{{reconnaissance.id}}|{{resource_development.id}},{{acquire_ml_artifacts_data.id}}|{{acquire_ml_artifacts_model.id}}|{{acquire_workspaces.id}}|{{proxy_via_artifacts.id}}|{{victim_research.id}},,
AML.CS0008,ProofPoint Evasion,"Proof Pudding (CVE-2019-20634) is a code repository that describes how ML researchers evaded ProofPoint's email protection system by first building a copy-cat email protection ML model, and using the insights to bypass the live system. More specifically, the insights allowed researchers to craft mal",,4,5,0,{{discovery.id}}|{{impact.id}}|{{ml_attack_staging.id}}|{{ml_model_access.id}},AML.T0063|{{craft_adv_transfer.id}}|{{evade_model.id}}|{{ml_service.id}}|{{replicate_model.id}},,
AML.CS0009,Tay Poisoning,"Microsoft created Tay, a Twitter chatbot designed to engage and entertain users.
While previous chatbots used pre-programmed scripts
to respond to prompts, Tay's machine learning capabilities allowed it to be
directly influenced by its conversations.

A coordinated attack encouraged malicious users ",,4,4,0,{{impact.id}}|{{initial_access.id}}|{{ml_model_access.id}}|{{persistence.id}},{{erode_integrity.id}}|{{ml_service.id}}|{{poison_data.id}}|{{supply_chain_data.id}},,
AML.CS0010,Microsoft Azure Service Disruption,"The Microsoft AI Red Team performed a red team exercise on an internal Azure service with the intention of disrupting its service. This operation had a combination of traditional ATT&CK enterprise techniques such as finding valid account, and exfiltrating data -- all interleaved with adversarial ML ",,7,8,0,{{collection.id}}|{{exfiltration.id}}|{{impact.id}}|{{initial_access.id}}|{{ml_attack_staging.id}}|{{ml_model_access.id}}|{{reconnaissance.id}},{{craft_adv_whitebox.id}}|{{evade_model.id}}|{{exfiltrate_via_cyber.id}}|{{inference_api.id}}|{{ml_artifact_collection.id}}|{{valid_accounts.id}}|{{verify_attack.id}}|{{victim_research.id}},,
AML.CS0011,Microsoft Edge AI Evasion,"The Azure Red Team performed a red team exercise on a new Microsoft product designed for running AI workloads at the edge. This exercise was meant to use an automated system to continuously manipulate a target image to cause the ML model to produce misclassifications.
",,5,5,0,{{impact.id}}|{{ml_attack_staging.id}}|{{ml_model_access.id}}|{{reconnaissance.id}}|{{resource_development.id}},{{acquire_ml_artifacts.id}}|{{craft_adv_blackbox.id}}|{{evade_model.id}}|{{inference_api.id}}|{{victim_research.id}},,
