case_study_id,name,incident_date,type,actor,target,summary,tactics_used,techniques_used,technique_count,competency_domains,sub_competency_ids,missing_controls,competency_gaps,harm_type,llm_gap_description,llm_sub_competencies,failure_mode,failure_mode_reasoning,trust_integration_split,split_reasoning,chain_of_thought
AML.CS0000,Evasion of Deep Learning Detector for Malware C&C Traffic,2020-01-01,exercise,Palo Alto Networks AI Research Team,Palo Alto Networks malware detection system,"The Palo Alto Networks Security AI research team tested a deep learning model for malware command and control (C&C) traffic detection in HTTP traffic. Based on the publicly available [paper by Le et al.](https://arxiv.org/abs/1802.03162), we built a model that was trained on a similar dataset as our production model and had similar performance. Then we crafted adversarial samples, queried the mode",AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0007,AML.T0000.001; AML.T0002.000; AML.T0005; AML.T0015; AML.T0042; AML.T0043.003,6,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Defense Evasion Detection; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-2; IR-6; TR-2; TR-3,AML.M0001: Limit Model Artifact Release; AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0009: Use Multi-Modal Sensors; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,security,The organization lacked advanced ML lifecycle controls and robust AI governance policies to prevent adversarial evasion of security models.,IR-3; TR-1,prevention_failure,No effective controls such as model hardening or adversarial input detection were in place to prevent evasion.,both,"Both governance policies and technical model hardening were missing, contributing equally to the vulnerability.",The Palo Alto Networks team demonstrated that their deep learning malware C&C traffic detector could be evaded due to lack of robust model hardening and adversarial input detection controls. The absence of ensemble methods and multi-modal sensors allowed attackers to bypass detection. This indicates a missing prevention control rather than a failure to detect or respond.
AML.CS0001,Botnet Domain Generation Algorithm (DGA) Detection Evasion,2020-01-01,exercise,Palo Alto Networks AI Research Team,Palo Alto Networks ML-based DGA detection module,The Palo Alto Networks Security AI research team was able to bypass a Convolutional Neural Network based botnet Domain Generation Algorithm (DGA) detector using a generic domain name mutation technique. It is a generic domain mutation technique which can evade most ML-based DGA detection modules. The generic mutation technique evades most ML-based DGA detection modules DGA and can be used to test ,AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0007,AML.T0000; AML.T0002; AML.T0015; AML.T0017.000; AML.T0042; AML.T0043.001,6,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Defense Evasion Detection; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-2; IR-6; TR-2; TR-3,AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0009: Use Multi-Modal Sensors; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection; AML.M0034: Deepfake Detection,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,security,There was a gap in the integration of robust ML lifecycle controls and governance policies to mitigate adversarial evasion techniques.,IR-3; TR-1,prevention_failure,No preventive controls existed to block domain mutation evasion techniques.,both,The failure stemmed from missing technical defenses and insufficient governance policies addressing adversarial threats.,"The botnet DGA detection model was bypassed using generic domain mutation techniques due to missing controls like model hardening, ensemble methods, and adversarial input detection. The evasion was possible because no prevention controls were implemented to block these mutations."
AML.CS0002,VirusTotal Poisoning,2020-01-01,incident,Unknown,VirusTotal,"McAfee Advanced Threat Research noticed an increase in reports of a certain ransomware family that was out of the ordinary. Case investigation revealed that many samples of that particular ransomware family were submitted through a popular virus-sharing platform within a short amount of time. Further investigation revealed that based on string similarity the samples were all equivalent, and based ",AML.TA0001; AML.TA0003; AML.TA0004; AML.TA0006,AML.T0010.002; AML.T0016.000; AML.T0020; AML.T0043,4,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Persistence Detection & Monitoring,IR-2; IR-6; TR-3,AML.M0002: Passive AI Output Obfuscation; AML.M0003: Model Hardening; AML.M0004: Restrict Number of AI Model Queries; AML.M0006: Use Ensemble Methods; AML.M0008: Validate AI Model; AML.M0010: Input Restoration,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,security,The incident exposed weaknesses in AI governance and technical controls related to model query management and input validation.,TR-1; IR-3,prevention_failure,No controls existed to restrict or validate the volume and quality of AI model queries to prevent poisoning.,both,"Both governance policies on query restrictions and technical input validation were missing, enabling poisoning.","VirusTotal was poisoned by mass submissions of ransomware samples, exploiting lack of query restrictions and model validation. The absence of controls like restricting AI model queries and input restoration allowed attackers to poison the dataset, indicating a prevention failure."
AML.CS0003,Bypassing Cylance's AI Malware Detection,2019-09-07,exercise,Skylight Cyber,"CylancePROTECT, Cylance Smart Antivirus",Researchers at Skylight were able to create a universal bypass string that evades detection by Cylance's AI Malware detector when appended to a malicious file.,AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0007; AML.TA0008,AML.T0000; AML.T0015; AML.T0017.000; AML.T0043.003; AML.T0047; AML.T0063,6,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Defense Evasion Detection; Trust Readiness — Discovery & Enumeration Controls; Trust Readiness — Model Access Governance; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-2; IR-6; TR-1; TR-2; TR-3,AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0009: Use Multi-Modal Sensors; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection; AML.M0034: Deepfake Detection,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,security,There was an absence of robust ML lifecycle controls and cybersecurity policies to prevent adversarial bypasses of AI malware detection.,IR-3; TR-1,prevention_failure,No preventive controls such as model hardening or adversarial input detection were implemented to block the bypass.,both,The failure was due to missing technical safeguards and insufficient governance policies addressing adversarial threats.,"Skylight researchers created a universal bypass string that evaded Cylance's AI malware detector due to missing model hardening, ensemble methods, and adversarial input detection controls. This lack of preventive technical controls allowed the attack to succeed."
AML.CS0004,Camera Hijack Attack on Facial Recognition System,2020-01-01,incident,Two individuals,Shanghai government tax office's facial recognition service,This type of camera hijack attack can evade the traditional live facial recognition authentication model and enable access to privileged systems and victim impersonation.  Two individuals in China used this attack to gain access to the local government's tax system. They created a fake shell company and sent invoices via tax system to supposed clients. The individuals started this scheme in 2018 a,AML.TA0000; AML.TA0002; AML.TA0003; AML.TA0004; AML.TA0011,AML.T0008.001; AML.T0015; AML.T0016.000; AML.T0016.001; AML.T0021; AML.T0047; AML.T0048.000; AML.T0087,8,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-2; IR-6; TR-1; TR-2; TR-6,AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0009: Use Multi-Modal Sensors; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection; AML.M0034: Deepfake Detection,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — Cybersecurity & Technical Controls,security,The incident highlights gaps in AI lifecycle controls and cybersecurity governance to prevent spoofing and impersonation attacks.,IR-3; TR-6,prevention_failure,No preventive controls existed to detect or block camera hijack and deepfake attacks.,both,"Both technical controls and governance policies were lacking, enabling the attack.","Two individuals hijacked cameras to bypass facial recognition authentication, exploiting missing controls like multi-modal sensors, adversarial input detection, and deepfake detection. The absence of these technical defenses and cybersecurity policies allowed unauthorized access, indicating a prevention failure."
AML.CS0005,Attack on Machine Translation Services,2020-04-30,exercise,Berkeley Artificial Intelligence Research,"Google Translate, Bing Translator, Systran Translate","Machine translation services (such as Google Translate, Bing Translator, and Systran Translate) provide public-facing UIs and APIs. A research group at UC Berkeley utilized these public endpoints to create a replicated model with near-production state-of-the-art translation quality. Beyond demonstrating that IP can be functionally stolen from a black-box system, they used the replicated model to s",AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0011,AML.T0000; AML.T0002.000; AML.T0002.001; AML.T0005.001; AML.T0015; AML.T0031; AML.T0040; AML.T0043.002; AML.T0048.004,9,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-2; IR-6; TR-1; TR-2; TR-6,AML.M0001: Limit Model Artifact Release; AML.M0019: Control Access to AI Models and Data in Production; AML.M0024: AI Telemetry Logging; AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0010: Input Restoration,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,intellectual_property,The organization lacked robust ML lifecycle controls and governance policies to prevent unauthorized replication and protect proprietary AI assets.,TR-1; IR-3,prevention_failure,No effective controls existed to prevent model artifact replication or restrict access to production models.,both,"Both governance policies (limiting release and access) and architectural controls (model hardening, telemetry) were missing, enabling the attack.","Researchers exploited public APIs of machine translation services to replicate near state-of-the-art models, indicating a lack of controls limiting model artifact release and access. The absence of model hardening and telemetry allowed this replication without detection or prevention."
AML.CS0006,ClearviewAI Misconfiguration,2020-04-16,incident,Researchers at spiderSilk,Clearview AI facial recognition tool,"Clearview AI makes a facial recognition tool that searches publicly available photos for matches.  This tool has been used for investigative purposes by law enforcement agencies and other parties.  Clearview AI's source code repository, though password protected, was misconfigured to allow an arbitrary user to register an account. This allowed an external researcher to gain access to a private cod",AML.TA0003; AML.TA0009; AML.TA0011,AML.T0002; AML.T0021; AML.T0031; AML.T0036,4,Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Data Collection & Exfiltration Prevention; Trust Readiness — Impact Containment & Recovery,IR-6; TR-4; TR-6,AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection; AML.M0000: Limit Public Release of Information,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy,security,There was a failure in enforcing AI governance policies and technical safeguards to secure sensitive AI assets and prevent unauthorized exposure.,TR-1; IR-3,prevention_failure,No controls existed to properly configure repository access or harden the model against adversarial inputs.,both,The root cause involved both governance failures in policy enforcement and architectural failures in technical access controls.,"Clearview AI's source code repository was misconfigured, allowing unauthorized access despite password protection. This indicates missing governance policies on information release and inadequate technical controls for model hardening and adversarial input detection."
AML.CS0007,GPT-2 Model Replication,2019-08-22,exercise,Researchers at Brown University,OpenAI GPT-2,"OpenAI built GPT-2, a language model capable of generating high quality text samples. Over concerns that GPT-2 could be used for malicious purposes such as impersonating others, or generating misleading news articles, fake social media content, or spam, OpenAI adopted a tiered release schedule. They initially released a smaller, less powerful version of GPT-2 along with a technical description of ",AML.TA0001; AML.TA0002; AML.TA0003,AML.T0000; AML.T0002.000; AML.T0002.001; AML.T0005.000; AML.T0008.000,5,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-2; IR-6; TR-2,AML.M0001: Limit Model Artifact Release; AML.M0000: Limit Public Release of Information; AML.M0014: Verify AI Artifacts,Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,intellectual_property,Insufficient AI governance policies and cybersecurity controls failed to prevent unauthorized replication of sensitive AI models.,TR-1,prevention_failure,No effective policy or technical control existed to prevent model artifact replication at the time of release.,trust-dominant,The primary failure was in governance policies around model release rather than technical architecture.,"OpenAI's tiered release of GPT-2 was circumvented by researchers replicating the model, showing gaps in limiting public release and verifying AI artifacts. The lack of strict governance and technical controls allowed replication despite concerns about misuse."
AML.CS0008,ProofPoint Evasion,2019-09-09,exercise,Researchers at Silent Break Security,ProofPoint Email Protection System,"Proof Pudding (CVE-2019-20634) is a code repository that describes how ML researchers evaded ProofPoint's email protection system by first building a copy-cat email protection ML model, and using the insights to bypass the live system. More specifically, the insights allowed researchers to craft malicious emails that received preferable scores, going undetected by the system. Each word in an email",AML.TA0000; AML.TA0001; AML.TA0008; AML.TA0011,AML.T0005.001; AML.T0015; AML.T0043.002; AML.T0047; AML.T0063,5,Integration Readiness — AI Attack Staging Defense; Trust Readiness — Discovery & Enumeration Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance,IR-2; TR-1; TR-2; TR-6,AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection; AML.M0009: Use Multi-Modal Sensors; AML.M0034: Deepfake Detection,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,security,The organization lacked robust ML lifecycle controls and cybersecurity measures to detect and prevent adversarial evasion attacks.,IR-3; TR-3,prevention_failure,No effective architectural or monitoring controls existed to prevent or detect adversarial evasion.,both,Both missing governance policies and architectural controls contributed to the vulnerability.,"Researchers evaded ProofPoint's email protection by building a copycat model and crafting adversarial inputs, exploiting missing model hardening, ensemble methods, and adversarial input detection. The absence of these controls allowed bypassing the live system."
AML.CS0009,Tay Poisoning,2016-03-23,incident,4chan Users,Microsoft's Tay AI Chatbot,"Microsoft created Tay, a Twitter chatbot designed to engage and entertain users. While previous chatbots used pre-programmed scripts to respond to prompts, Tay's machine learning capabilities allowed it to be directly influenced by its conversations.  A coordinated attack encouraged malicious users to tweet abusive and offensive language at Tay, which eventually led to Tay generating similarly inf",AML.TA0000; AML.TA0004; AML.TA0006; AML.TA0011,AML.T0010.002; AML.T0020; AML.T0031; AML.T0047,4,Integration Readiness — Access Boundary & Initial Access Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance; Trust Readiness — Persistence Detection & Monitoring,IR-2; TR-1; TR-3; TR-6,AML.M0024: AI Telemetry Logging; AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection; AML.M0005: Control Access to AI Models and Data at Rest,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,bias_discrimination,There was a failure in implementing AI lifecycle controls and governance policies to prevent and detect model poisoning and harmful output generation.,IR-3; TR-3,prevention_failure,No controls existed to prevent or detect the poisoning attack before it impacted the chatbot.,both,Both governance gaps in policy and architectural gaps in technical controls enabled the poisoning.,"Microsoft's Tay chatbot was poisoned by coordinated malicious users due to lack of model hardening, adversarial input detection, and telemetry logging. The system allowed harmful content generation without sufficient controls to prevent or detect poisoning."
