id,bundle,name,description,sources
TR-1,Trust Readiness,AI Risk Policy & Accountability,"Formal policies, accountability structures, and role assignments for AI risk management across the lifecycle.",NIST AI RMF GOVERN; EU AI Act Art. 9
TR-2,Trust Readiness,Agentic Threat Surface Mapping,"Capability to identify, model, and prioritize adversarial threats specific to LLM and agentic AI systems including prompt injection, tool misuse, and model poisoning.","NIST GenAI Profile MAP; OWASP LLM01/LLM04/LLM06; MITRE ATLAS (16 tactics, 155 techniques)"
TR-3,Trust Readiness,AI Evaluation & Monitoring Governance,"Systematic evaluation of AI outputs for accuracy, bias, toxicity, and alignment; continuous monitoring with telemetry and audit logging.",NIST AI RMF MEASURE; EU AI Act Art. 12/15; ATLAS AML.M0024 AI Telemetry Logging [33x incident coverage]
TR-4,Trust Readiness,Data Governance & Integrity Assurance,"Controls ensuring training data quality, provenance, access restrictions, and protection against poisoning and unauthorized disclosure.",NIST AI RMF GOVERN GV-6; EU AI Act Art. 10; OWASP LLM02/LLM04/LLM08
TR-5,Trust Readiness,Regulatory Compliance Translation,"Ability to translate external regulatory obligations (EU AI Act, sector-specific rules) into internal architecture controls and documented evidence.","EU AI Act Art. 9-15, 53, 55; NIST AI RMF MANAGE"
TR-6,Trust Readiness,AI Incident Response & Recovery,"Structured playbooks for detecting, containing, and recovering from AI-specific incidents including model failures, adversarial attacks, and harmful outputs.",NIST AI RMF MANAGE MG-4; EU AI Act Art. 55; ATLAS case studies (52 real incidents)
TR-7,Trust Readiness,Human Override & Control Mechanisms,"Technical and procedural mechanisms enabling humans to monitor, intervene, override, and shut down AI systems -- especially in agentic contexts.",EU AI Act Art. 14; NIST GenAI Profile MANAGE; OWASP LLM06
TR-8,Trust Readiness,Supply Chain & Third-Party AI Risk,"Governance of risks from third-party AI components, foundation models, datasets, and vendor dependencies.",NIST AI RMF GOVERN GV-6; EU AI Act Art. 53; OWASP LLM03; ATLAS AML.TA0003 [77x -- most frequent tactic]
IR-1,Integration Readiness,Orchestration Pattern Selection & Design,"Ability to select and implement appropriate agentic orchestration patterns (single-agent vs. multi-agent, hierarchical vs. collaborative) based on task requirements, risk profile, and integration complexity.",Google Cloud Agentic AI Design Patterns; Microsoft Azure Well-Architected AI; Deloitte Tech Trends 2026
IR-2,Integration Readiness,Tool-Use Boundaries & Least-Privilege Access,"Design of explicit permission boundaries for AI agent tool calls, API access, and external system interactions -- enforcing least-privilege and preventing excessive agency.",OWASP LLM06 Excessive Agency; NIST GenAI Profile MAP; ATLAS AML.TA0004 Initial Access [41x]
IR-3,Integration Readiness,Nondeterminism Management & Output Validation,"Controls for managing the inherent nondeterminism of LLM outputs including output schema validation, confidence thresholds, retry logic, and downstream integration guards.",Microsoft Azure Well-Architected AI; OWASP LLM05; NIST AI RMF MEASURE
IR-4,Integration Readiness,RAG Architecture & Data Grounding,"Design and operation of retrieval-augmented generation pipelines that ground LLM outputs in authoritative organizational data, with appropriate access controls and provenance tracking.",NIST GenAI Profile; OWASP LLM08/LLM09; IBM Data Governance for AI [#12]; AWS GenAI Data Governance [#13]
IR-5,Integration Readiness,GenAIOps / MLOps Lifecycle Governance,"End-to-end operational management of AI/LLM systems across the lifecycle: versioning, deployment, monitoring, evaluation, rollback, and continuous improvement.",Microsoft Learn LLMOps [#11]; EU AI Act Art. 9; NIST AI RMF MANAGE; Deloitte Tech Trends 2026
IR-6,Integration Readiness,Scalable Modular Architecture (Archetypes),Design of reusable AI application archetypes that enable rapid scaling of use cases without rebuilding from scratch -- reducing technical debt and enabling governance consistency.,BCG CIO Role [#20] -- 8 archetypes framework; Bizzdesign Enterprise Architecture [#10]; McKinsey New CIO Mandate [#32]
IR-7,Integration Readiness,Human-in-the-Loop Architecture Patterns,"Architectural integration of human approval gates, review checkpoints, and override mechanisms into agentic workflows -- especially for high-stakes or irreversible actions.",EU AI Act Art. 14; NIST GenAI Profile MANAGE; OWASP LLM06; Microsoft Azure Well-Architected AI
IR-8,Integration Readiness,Evaluation & Monitoring Infrastructure,"Technical infrastructure for continuous evaluation of AI system performance, safety, and alignment -- including benchmarks, red-teaming pipelines, and production telemetry.","NIST AI RMF MEASURE; EU AI Act Art. 12/15; ATLAS AML.M0024 [most-needed mitigation, 33x]"
