3_agency,2_use_case_name,16_dev_stage,operational,orientation,TR,IR,TR_x_IR,vendor,mixed_dev,rights_safety,agency_n,topic_breadth,tr_ato,tr_internal_rev,tr_impact_assess,tr_rw_testing,tr_indep_eval,tr_postdeploy,tr_notice,tr_disparity,tr_appeal,ir_data_catalog,ir_data_docs,ir_custom_code,ir_code_access,ir_infra,ir_timely_res,ir_reuse
Department of Homeland Security,Non-Intrusive Inspection (NII) 3D Imaging Tool,Implementation and Assessment,1,0.7881298202108378,1,4,4,1,0,0,183,8,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
Department of Homeland Security,Babel,Implementation and Assessment,1,0.7881298202108378,1,2,2,1,0,1,183,8,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Department of Homeland Security,Fivecast ONYX,Implementation and Assessment,1,0.7881298202108378,1,2,2,1,0,1,183,8,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Department of Homeland Security,Public Information Compilation for Travel  Threat Analysis (Dataminr),Acquisition and/or Development,0,0.7881298202108378,0,0,0,1,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Anomaly Detection in Non-Intrusive Inspection,Acquisition and/or Development,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Advanced Analytics for X-ray Images (AAXI),Acquisition and/or Development,0,0.7881298202108378,1,2,2,1,0,1,183,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Department of Homeland Security,Automated Data Annotation,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,AI Enabled Autonomous Underwater Vehicle,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Relocatable Multi-Sensor System,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,AI/LLM to generate testable synthetic data,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Anomaly Detection COV Structure,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Anomaly Detection Homogenous Cargo,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Anomaly Detection POV Structure,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,CBP Careers Bot - Leo,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Computer Vision for Aerial Detection of Land and Open Water Items of Interest,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,AI for Software Delivery,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Optical Counter - UAS Detection,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Thermal Power Generation with Geoseismic IoI Detection and Classification,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
