competency_id,req_id,bundle,confidence,competency_statement,bundle_reasoning,applicable_controls,evidence_summary
COMP-01,NIST-GV-1,Trust Readiness,high,"Organizations must formalize and transparently implement comprehensive AI risk management policies and procedures, ensuring these are consistently applied and documented across the AI lifecycle [#21][#25].","The requirement is fundamentally about establishing, documenting, and enforcing policies and processes for AI risk management, which is a governance and accountability concern rather than a technical implementation.",AI Risk Policy & Accountability Structures; GenAIOps / MLOps Lifecycle Governance; Regulatory Compliance Documentation,"[#21] Directly addresses the need for explicit, transparent, and effective risk management policies.; [#25] Lifecycle governance ensures that risk management policies are operationalized and monitored throughout the AI system lifecycle.; [#21] Documentation is a key part of demonstrating compliance and transparency in risk management."
COMP-02,NIST-GV-2,Trust Readiness,high,A firm requires dedicated AI risk governance committees with cross-functional membership empowered to halt deployments when risk thresholds are breached [#21][#25].,"This requirement is about assigning and empowering accountable roles for AI risk management, which is a governance structure issue.",AI Risk Policy & Accountability Structures,"[#21] Directly calls for empowered, accountable structures for risk management.; [#25] COBIT emphasizes clear ownership and accountability for AI governance."
COMP-03,NIST-GV-3,Trust Readiness,medium,"Organizations must foster a culture where AI risks are openly discussed and communicated across all levels, supported by explicit risk governance policies [#21][#25].","The requirement is about embedding risk awareness and communication into organizational culture, which is a governance and policy concern.",AI Risk Policy & Accountability Structures,[#21] Directly addresses the need for cultural consideration and communication of AI risk.; [#25] COBIT highlights the importance of culture and ethics in governance.
COMP-04,NIST-GV-4,Trust Readiness,medium,"Organizations should ensure that all teams are engaged in and committed to ongoing dialogue and education about AI risks, reinforced by governance frameworks [#21][#25].","This requirement is about organizational commitment to a risk-aware culture, which is a governance and leadership issue.",AI Risk Policy & Accountability Structures,[#21] Directly addresses team-level commitment to risk-aware culture.; [#25] COBIT links culture and governance in AI management.
COMP-05,NIST-GV-5,Trust Readiness,high,Senior executives and board members must be educated on AI risk and actively participate in oversight and strategic decision-making for AI deployments [#21][#25].,"This requirement is about senior leadership and board engagement in AI risk management, which is a governance and oversight issue.",AI Risk Policy & Accountability Structures,[#21] Directly requires leadership and board engagement in risk management.; [#25] COBIT stresses the role of senior leadership in governance.
COMP-06,NIST-GV-6,Trust Readiness,high,"Organizations must implement formal policies and controls to assess and mitigate AI risks arising from third-party software, data, and supply chain dependencies [#21][#25][#29].","This requirement is about establishing policies for managing third-party and supply chain AI risks, which is a governance and policy-setting activity.",Supply Chain & Vendor Risk Controls,[#21] Directly addresses the need for supply chain risk policies.; [#25] COBIT highlights the importance of managing third-party and supply chain risks.; [#29] OWASP identifies supply chain vulnerabilities as a critical risk for AI systems.
COMP-07,NIST-MP-1,Integration Readiness,medium,"Organizations must implement lifecycle governance and orchestration patterns that ensure AI systems are contextualized for their intended purpose, deployment environment, and impact [#21][#09][#11].","This requirement is primarily about establishing technical and operational mechanisms to contextualize AI system risks, which requires engineering and architecture work.",GenAIOps / MLOps Lifecycle Governance; Single-Agent Orchestration Pattern; Multi-Agent Orchestration Pattern,[#21] Lifecycle governance ensures risk context is established and maintained.; [#09] Orchestration patterns help contextualize and manage agentic AI risks.; [#11] Lifecycle management is essential for contextualizing and managing AI risks.
COMP-08,NIST-MP-2,Integration Readiness,medium,Organizations must operationalize mechanisms to integrate scientific evidence and organizational best practices into ongoing risk characterization and monitoring for AI systems [#21][#11].,"This requirement is about integrating scientific findings and organizational practices into risk characterization, which is primarily an engineering and operationalization task.",GenAIOps / MLOps Lifecycle Governance; Evaluation & Monitoring Infrastructure,[#21] Lifecycle governance ensures integration of scientific and organizational knowledge.; [#11] Evaluation and monitoring infrastructure is necessary to integrate and act on scientific and organizational findings.
COMP-09,NIST-MP-3,Integration Readiness,high,"Organizations must deploy robust evaluation and monitoring infrastructure to systematically map, prioritize, and track AI risks and benefits by likelihood and impact throughout the system lifecycle [#21][#11].",Mapping and prioritizing risks and benefits by likelihood and impact requires technical infrastructure for evaluation and monitoring.,Evaluation & Monitoring Infrastructure; GenAIOps / MLOps Lifecycle Governance,[#21] Directly requires infrastructure to map and prioritize risks and benefits.; [#11] Evaluation infrastructure is necessary for risk/benefit mapping and prioritization.
COMP-10,NIST-MP-4,Integration Readiness,medium,Organizations must implement monitoring and feedback mechanisms that ensure AI risks and benefits are communicated and understood by all relevant stakeholders [#21][#11].,"Ensuring that risks and benefits are understood by the organization and relevant actors requires technical mechanisms for communication, monitoring, and feedback.",Evaluation & Monitoring Infrastructure; GenAIOps / MLOps Lifecycle Governance,[#21] Monitoring infrastructure supports communication and understanding of risks and benefits.; [#11] Feedback mechanisms are essential for ensuring understanding among stakeholders.
COMP-11,NIST-MP-5,Trust Readiness,high,"Organizations must establish formal AI risk governance committees and structured processes for risk identification, including cross-functional teams empowered to proactively surface and escalate emerging AI risks [#21, #25].","This requirement is about ensuring organizational practices and roles exist for risk identification, which is fundamentally a governance and accountability issue rather than a technical mechanism.",AI Risk Policy & Accountability Structures; Threat Modeling & Red-Teaming,"[#21] NIST AI RMF emphasizes the need for governance structures and coordinated activities for risk management.; [#25] COBIT for AI stresses the importance of clear ownership and defined roles for AI risk governance.; [#21] NIST AI RMF highlights the need for proactive identification and tracking of emergent risks, which is operationalized through threat modeling and red-teaming."
COMP-12,NIST-MS-1,Integration Readiness,high,"Organizations must implement robust evaluation and monitoring infrastructure to systematically apply and track AI risk measurement methodologies throughout the system lifecycle [#21, #11].","The requirement focuses on the technical implementation of risk measurement approaches, which is primarily an engineering and operational concern.",Evaluation & Monitoring Infrastructure; GenAIOps / MLOps Lifecycle Governance,[#21] NIST AI RMF directly links risk measurement to technical evaluation and monitoring mechanisms.; [#11] Microsoft LLMOps guidance describes the need for technical evaluation and monitoring as part of the lifecycle.
COMP-13,NIST-MS-2,Integration Readiness,high,"Organizations should deploy evaluation and monitoring systems capable of assessing AI systems for trustworthiness attributes such as reliability, safety, and fairness, including automated output validation where feasible [#21, #11].","This requirement is about technically evaluating AI systems for trustworthy characteristics, which is an engineering and monitoring task.",Evaluation & Monitoring Infrastructure; Nondeterminism Controls & Output Validation,[#21] NIST AI RMF links trustworthy characteristic evaluation to technical assessment infrastructure.; [#11] Microsoft LLMOps guidance includes output validation as part of trustworthy AI evaluation.
COMP-14,NIST-MS-3,Integration Readiness,high,"Organizations must establish continuous monitoring systems to measure and report on AI system performance and assurance metrics, ensuring alignment with defined benchmarks [#21, #11].",Measuring system performance or assurance criteria is a technical activity requiring monitoring and evaluation mechanisms.,Evaluation & Monitoring Infrastructure,[#21] NIST AI RMF explicitly calls for technical measurement of performance and assurance.; [#11] Microsoft LLMOps guidance details technical monitoring for assurance and performance.
COMP-15,NIST-MS-4,Integration Readiness,high,"Organizations should implement feedback mechanisms within their monitoring infrastructure to iteratively refine measurement processes and improve AI system performance over time [#21, #11].",Incorporating feedback about measurement efficacy into processes is primarily an engineering and operational feedback loop.,Evaluation & Monitoring Infrastructure; GenAIOps / MLOps Lifecycle Governance,[#21] NIST AI RMF highlights the need for feedback loops in technical measurement processes.; [#11] Microsoft LLMOps guidance describes technical feedback integration into lifecycle processes.
