competency_id,bundle,trust_sub,integration_sub,source,source_req_id,competency_statement,arch_controls
COMP-01,Trust Readiness,AI Risk Policy & Accountability,Governance-as-Code / Policy Enforcement,NIST AI RMF 1.0,NIST-GV-1,Ability to ai risk policy & accountability by designing and operating governance-as-code / policy enforcement to satisfy NIST AI RMF 1.0 GOVERN requirements.,AI Risk Policy & Accountability Structures; Regulatory Compliance Documentation; GenAIOps / MLOps Lifecycle Governance
COMP-02,Trust Readiness,AI Governance Accountability Structures,Role-Based Access & Identity Controls,NIST AI RMF 1.0,NIST-GV-2,Ability to ai governance accountability structures by designing and operating role-based access & identity controls to satisfy NIST AI RMF 1.0 GOVERN requirements.,AI Risk Policy & Accountability Structures; Tool-Use Boundaries & Least-Privilege Access; Human-in-the-Loop Approval Gates
COMP-03,Trust Readiness,AI Risk Culture & Communication,Human-in-the-Loop Design,NIST AI RMF 1.0,NIST-GV-3,Ability to ai risk culture & communication by designing and operating human-in-the-loop design to satisfy NIST AI RMF 1.0 GOVERN requirements.,Human-in-the-Loop Approval Gates; Human Override & Control Mechanisms; Incident Response & Recovery Playbooks
COMP-04,Trust Readiness,Organizational AI Risk Culture,Change Management & GenAIOps,NIST AI RMF 1.0,NIST-GV-4,Ability to organizational ai risk culture by designing and operating change management & genaiops to satisfy NIST AI RMF 1.0 GOVERN requirements.,GenAIOps / MLOps Lifecycle Governance; AI Risk Policy & Accountability Structures
COMP-05,Trust Readiness,Board & CIO AI Risk Oversight,AI Orientation Strategic Alignment,NIST AI RMF 1.0,NIST-GV-5,Ability to board & cio ai risk oversight by designing and operating ai orientation strategic alignment to satisfy NIST AI RMF 1.0 GOVERN requirements.,AI Risk Policy & Accountability Structures; Regulatory Compliance Documentation
COMP-06,Trust Readiness,AI Supply Chain Risk Management,Resource & Supply Chain Controls,NIST AI RMF 1.0,NIST-GV-6,Ability to ai supply chain risk management by designing and operating resource & supply chain controls to satisfy NIST AI RMF 1.0 GOVERN requirements.,Supply Chain & Vendor Risk Controls; Tool-Use Boundaries & Least-Privilege Access; Data Governance & Access Controls
COMP-07,Trust Readiness,AI System Risk Contextualization,Requirements-Driven Agent Pattern Selection,NIST AI RMF 1.0,NIST-MP-1,Ability to ai system risk contextualization by designing and operating requirements-driven agent pattern selection to satisfy NIST AI RMF 1.0 MAP requirements.,Single-Agent Orchestration Pattern; Multi-Agent Orchestration Pattern; Threat Modeling & Red-Teaming
COMP-08,Integration Readiness,Threat Intelligence Integration,Adversarial Threat Modeling for Agentic Systems,NIST AI RMF 1.0,NIST-MP-2,Ability to threat intelligence integration by designing and operating adversarial threat modeling for agentic systems to satisfy NIST AI RMF 1.0 MAP requirements.,Threat Modeling & Red-Teaming; Evaluation & Monitoring Infrastructure
COMP-09,Trust Readiness,AI Risk Prioritization,Risk-Based Architecture Decisions,NIST AI RMF 1.0,NIST-MP-3,Ability to ai risk prioritization by designing and operating risk-based architecture decisions to satisfy NIST AI RMF 1.0 MAP requirements.,Threat Modeling & Red-Teaming; AI Risk Policy & Accountability Structures; Evaluation & Monitoring Infrastructure
COMP-10,Trust Readiness,Stakeholder Risk Communication,Transparency & Explainability Controls,NIST AI RMF 1.0,NIST-MP-4,Ability to stakeholder risk communication by designing and operating transparency & explainability controls to satisfy NIST AI RMF 1.0 MAP requirements.,Regulatory Compliance Documentation; Audit Logging & Telemetry; Human-in-the-Loop Approval Gates
