case_study_id,name,incident_date,type,actor,target,summary,tactics_used,techniques_used,technique_count,competency_domains,missing_controls,competency_gaps
AML.CS0000,Evasion of Deep Learning Detector for Malware C&C Traffic,2020-01-01,exercise,Palo Alto Networks AI Research Team,Palo Alto Networks malware detection system,"The Palo Alto Networks Security AI research team tested a deep learning model for malware command and control (C&C) traffic detection in HTTP traffic. Based on the publicly available [paper by Le et al.](https://arxiv.org/abs/1802.03162), we built a model that was trained on a similar dataset as our",AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0007,AML.T0000.001; AML.T0002.000; AML.T0005; AML.T0015; AML.T0042; AML.T0043.003,6,Integration Readiness -- AI Attack Staging Defense; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Defense Evasion Detection; Trust Readiness -- Threat Intelligence & Reconnaissance Defense,AML.M0003: Model Hardening; AML.M0004: Restrict Number of AI Model Queries; AML.M0006: Use Ensemble Methods; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection,Trust Readiness -- General Governance
AML.CS0001,Botnet Domain Generation Algorithm (DGA) Detection Evasion,2020-01-01,exercise,Palo Alto Networks AI Research Team,Palo Alto Networks ML-based DGA detection module,The Palo Alto Networks Security AI research team was able to bypass a Convolutional Neural Network based botnet Domain Generation Algorithm (DGA) detector using a generic domain name mutation technique. It is a generic domain mutation technique which can evade most ML-based DGA detection modules. Th,AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0007,AML.T0000; AML.T0002; AML.T0015; AML.T0017.000; AML.T0042; AML.T0043.001,6,Integration Readiness -- AI Attack Staging Defense; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Defense Evasion Detection; Trust Readiness -- Threat Intelligence & Reconnaissance Defense,AML.M0000: Limit Public Release of Information; AML.M0002: Passive AI Output Obfuscation; AML.M0003: Model Hardening; AML.M0004: Restrict Number of AI Model Queries; AML.M0006: Use Ensemble Methods,Trust Readiness -- General Governance
AML.CS0002,VirusTotal Poisoning,2020-01-01,incident,Unknown,VirusTotal,McAfee Advanced Threat Research noticed an increase in reports of a certain ransomware family that was out of the ordinary. Case investigation revealed that many samples of that particular ransomware family were submitted through a popular virus-sharing platform within a short amount of time. Furthe,AML.TA0001; AML.TA0003; AML.TA0004; AML.TA0006,AML.T0010.002; AML.T0016.000; AML.T0020; AML.T0043,4,Integration Readiness -- AI Attack Staging Defense; Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Persistence Detection & Monitoring,AML.M0002: Passive AI Output Obfuscation; AML.M0003: Model Hardening; AML.M0004: Restrict Number of AI Model Queries; AML.M0006: Use Ensemble Methods; AML.M0008: Validate AI Model,Trust Readiness -- General Governance
AML.CS0003,Bypassing Cylance's AI Malware Detection,2019-09-07,exercise,Skylight Cyber,"CylancePROTECT, Cylance Smart Antivirus",Researchers at Skylight were able to create a universal bypass string that evades detection by Cylance's AI Malware detector when appended to a malicious file.,AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0007; AML.TA0008,AML.T0000; AML.T0015; AML.T0017.000; AML.T0043.003; AML.T0047; AML.T0063,6,Integration Readiness -- AI Attack Staging Defense; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Defense Evasion Detection; Trust Readiness -- Discovery & Enumeration Controls; Trust Readiness -- Model Access Governance; Trust Readiness -- Threat Intelligence & Reconnaissance Defense,AML.M0003: Model Hardening; AML.M0004: Restrict Number of AI Model Queries; AML.M0006: Use Ensemble Methods; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection,Trust Readiness -- General Governance
AML.CS0004,Camera Hijack Attack on Facial Recognition System,2020-01-01,incident,Two individuals,Shanghai government tax office's facial recognition service,This type of camera hijack attack can evade the traditional live facial recognition authentication model and enable access to privileged systems and victim impersonation.  Two individuals in China used this attack to gain access to the local government's tax system. They created a fake shell company,AML.TA0000; AML.TA0002; AML.TA0003; AML.TA0004; AML.TA0011,AML.T0008.001; AML.T0015; AML.T0016.000; AML.T0016.001; AML.T0021; AML.T0047; AML.T0048.000; AML.T0087,8,Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Model Access Governance; Trust Readiness -- Threat Intelligence & Reconnaissance Defense,AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0009: Use Multi-Modal Sensors; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection,Trust Readiness -- General Governance
AML.CS0005,Attack on Machine Translation Services,2020-04-30,exercise,Berkeley Artificial Intelligence Research,"Google Translate, Bing Translator, Systran Translate","Machine translation services (such as Google Translate, Bing Translator, and Systran Translate) provide public-facing UIs and APIs. A research group at UC Berkeley utilized these public endpoints to create a replicated model with near-production state-of-the-art translation quality. Beyond demonstra",AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0011,AML.T0000; AML.T0002.000; AML.T0002.001; AML.T0005.001; AML.T0015; AML.T0031; AML.T0040; AML.T0043.002; AML.T0048.004,9,Integration Readiness -- AI Attack Staging Defense; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Model Access Governance; Trust Readiness -- Threat Intelligence & Reconnaissance Defense,AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection; AML.M0000: Limit Public Release of Information,Trust Readiness -- General Governance
AML.CS0006,ClearviewAI Misconfiguration,2020-04-16,incident,Researchers at spiderSilk,Clearview AI facial recognition tool,"Clearview AI makes a facial recognition tool that searches publicly available photos for matches.  This tool has been used for investigative purposes by law enforcement agencies and other parties.  Clearview AI's source code repository, though password protected, was misconfigured to allow an arbitr",AML.TA0003; AML.TA0009; AML.TA0011,AML.T0002; AML.T0021; AML.T0031; AML.T0036,4,Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Data Collection & Exfiltration Prevention; Trust Readiness -- Impact Containment & Recovery,AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection; AML.M0000: Limit Public Release of Information,Trust Readiness -- General Governance
AML.CS0007,GPT-2 Model Replication,2019-08-22,exercise,Researchers at Brown University,OpenAI GPT-2,"OpenAI built GPT-2, a language model capable of generating high quality text samples. Over concerns that GPT-2 could be used for malicious purposes such as impersonating others, or generating misleading news articles, fake social media content, or spam, OpenAI adopted a tiered release schedule. They",AML.TA0001; AML.TA0002; AML.TA0003,AML.T0000; AML.T0002.000; AML.T0002.001; AML.T0005.000; AML.T0008.000,5,Integration Readiness -- AI Attack Staging Defense; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Threat Intelligence & Reconnaissance Defense,AML.M0000: Limit Public Release of Information; AML.M0001: Limit Model Artifact Release; AML.M0014: Verify AI Artifacts,Trust Readiness -- General Governance
AML.CS0008,ProofPoint Evasion,2019-09-09,exercise,Researchers at Silent Break Security,ProofPoint Email Protection System,"Proof Pudding (CVE-2019-20634) is a code repository that describes how ML researchers evaded ProofPoint's email protection system by first building a copy-cat email protection ML model, and using the insights to bypass the live system. More specifically, the insights allowed researchers to craft mal",AML.TA0000; AML.TA0001; AML.TA0008; AML.TA0011,AML.T0005.001; AML.T0015; AML.T0043.002; AML.T0047; AML.T0063,5,Integration Readiness -- AI Attack Staging Defense; Trust Readiness -- Discovery & Enumeration Controls; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Model Access Governance,AML.M0002: Passive AI Output Obfuscation; AML.M0004: Restrict Number of AI Model Queries; AML.M0024: AI Telemetry Logging; AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods,Trust Readiness -- General Governance
AML.CS0009,Tay Poisoning,2016-03-23,incident,4chan Users,Microsoft's Tay AI Chatbot,"Microsoft created Tay, a Twitter chatbot designed to engage and entertain users. While previous chatbots used pre-programmed scripts to respond to prompts, Tay's machine learning capabilities allowed it to be directly influenced by its conversations.  A coordinated attack encouraged malicious users ",AML.TA0000; AML.TA0004; AML.TA0006; AML.TA0011,AML.T0010.002; AML.T0020; AML.T0031; AML.T0047,4,Integration Readiness -- Access Boundary & Initial Access Controls; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Model Access Governance; Trust Readiness -- Persistence Detection & Monitoring,AML.M0024: AI Telemetry Logging; AML.M0005: Control Access to AI Models and Data at Rest; AML.M0007: Sanitize Training Data; AML.M0014: Verify AI Artifacts; AML.M0025: Maintain AI Dataset Provenance,Trust Readiness -- General Governance
