exp_num,experiment_id,status,hypothesis,prior,prior_label,posterior,posterior_label,surprise,surprise_label,is_surprising,parent_id,n_children,runtime_s,created_at,objective,analysis_snippet,folder
1,node_2_0,SUCCEEDED,"Security-related harm types are exclusively associated with 'Integration Readiness' competency gaps, whereas non-security harms (Privacy, Bias, Safety) are predominantly associated with 'Trust Readiness' gaps.",0.5,Uncertain,0.1281,Likely False,-0.4316,Strong Negative (hypothesis contradicted),True,node_1_0,3,186.2,2026-02-20T21:31:16.718272+00:00,Test the alignment between harm categories and competency bundles.,The experiment tested the hypothesis that Security harms align with 'Integration Readiness' gaps and Non-Security harms with 'Trust Readiness' gaps. The results leads to the rejection of this hypothes,EXP_001_node_2_0
2,node_2_1,SUCCEEDED,"Competencies classified as 'Integration Readiness' have significantly higher empirical 'Confidence' scores in the literature than 'Trust Readiness' competencies, reflecting a mature engineering body of knowledge versus a nascent governance frameworks.",0.7581,Likely True,0.1942,Likely False,-0.6544,Strong Negative (hypothesis contradicted),True,node_1_0,3,169.3,2026-02-20T21:31:16.722208+00:00,Compare the evidence confidence levels between bundles.,"The experiment successfully loaded 'step2_competency_statements.csv' and mapped the categorical 'confidence' levels to numerical scores (High=3, Medium=2, Low=1). 

Descriptive statistics show nearly ",EXP_002_node_2_1
3,node_2_2,SUCCEEDED,"The 'Uncovered' sub-competencies (those with zero mapped incidents) are disproportionately concentrated in the 'Trust Readiness' bundle, indicating that current AI incident reporting frameworks under-represent governance failures compared to engineering failures.",0.7419,Likely True,0.1901,Likely False,-0.6405,Strong Negative (hypothesis contradicted),True,node_1_0,3,133.4,2026-02-20T21:34:23.973903+00:00,Analyze the distribution of coverage gaps across bundles.,The code successfully loaded the 'step3_coverage_map.csv' dataset and performed the requested statistical analysis. The contingency table revealed a perfectly symmetrical distribution of coverage gaps,EXP_003_node_2_2
4,node_2_3,SUCCEEDED,"There has been a significant temporal shift in AI incident characteristics, where the proportion of 'Integration Readiness' gaps has increased relative to 'Trust Readiness' gaps in incidents occurring post-2023 compared to pre-2023.",0.5417,Uncertain,0.6667,Maybe True,0.1451,Mild Positive (hypothesis somewhat supported),True,node_1_0,3,216.2,2026-02-20T21:34:23.975228+00:00,Evaluate the time-based evolution of competency gap types.,The experiment successfully analyzed the temporal evolution of competency gaps across 52 incidents. The data was split into Pre-2023 (n=19) and Post-2023 (n=33) periods. The analysis reveals a directi,EXP_004_node_2_3
5,node_2_4,SUCCEEDED,"Regulatory frameworks (e.g., EU AI Act, NIST AI RMF) map disproportionately to 'Trust Readiness' competencies, whereas technical frameworks (e.g., OWASP, NIST GenAI) map disproportionately to 'Integration Readiness', indicating a structural decoupling between policy requirements and engineering implementation.",0.7419,Likely True,0.7479,Likely True,0.007,Neutral (no significant belief shift),False,node_1_0,2,149.9,2026-02-20T21:38:01.380222+00:00,Quantify the association between source framework types and competency bundles.,The experiment successfully mapped the 42 governance requirements to 'Policy' (n=28) and 'Technical' (n=14) source categories. The contingency table reveals a distinct directional trend: Technical sou,EXP_005_node_2_4
6,node_2_5,SUCCEEDED,"Competency statements classified as 'Trust Readiness' require a significantly higher number of distinct architecture controls to satisfy than 'Integration Readiness' competencies, reflecting the diffuse and multi-faceted nature of governance implementation.",0.7417,Likely True,0.1854,Likely False,-0.6456,Strong Negative (hypothesis contradicted),True,node_1_0,2,181.2,2026-02-20T21:38:01.381337+00:00,Analyze the 'control density' of governance requirements vs. engineering requirements.,The experiment successfully analyzed the 'control density' of governance requirements by processing `step2_crosswalk_matrix.csv`. The results contradict the initial hypothesis that 'Trust Readiness' c,EXP_006_node_2_5
7,node_2_6,SUCCEEDED,"Incidents characterized by 'Integration Readiness' failures exhibit significantly higher attack complexity (measured by technique count) than 'Trust Readiness' failures, suggesting that engineering gaps are exploited via complex technical chains while governance gaps are exploited via simpler mechanisms.",0.6774,Maybe True,0.626,Maybe True,-0.0596,Mild Negative (hypothesis weakened),False,node_1_0,2,161.4,2026-02-20T21:41:03.697781+00:00,Compare the mean technique count of incidents across competency split categories.,The experiment successfully loaded the 'step3_incident_coding.csv' dataset and performed the requested comparative analysis. Filtering for 'Trust-Dominant' and 'Integration-Dominant' splits resulted i,EXP_007_node_2_6
8,node_2_7,SUCCEEDED,"Architecture controls that function as 'Hubs' (mapping to >5 governance requirements) are significantly more likely to be missing in reported incidents than 'Spoke' controls (mapping to <=5 requirements), validating their criticality.",0.7419,Likely True,0.5124,Uncertain,-0.2664,Mild Negative (hypothesis weakened),True,node_1_0,3,477.1,2026-02-20T21:41:03.699733+00:00,Correlate control theoretical centrality with empirical failure rates.,The experiment successfully correlated governance centrality with incident frequency using a keyword-based proxy to resolve the schema mismatch between datasets. The results demonstrate a statisticall,EXP_008_node_2_7
9,node_3_0,SUCCEEDED,"Competency statements with 'High' evidence confidence map to a significantly higher number of architecture controls than those with 'Medium' or 'Low' confidence, reflecting a maturity bias in the framework.",0.6875,Maybe True,0.1447,Likely False,-0.6299,Strong Negative (hypothesis contradicted),True,node_2_5,3,188.3,2026-02-20T21:49:01.962808+00:00,Explore the relationship between the strength of literature evidence and the architectural complexity of the resulting competency.,"The experiment successfully analyzed the relationship between evidence confidence and architectural complexity. 

**Descriptive Statistics:**
- **High Confidence:** n=36, Mean=1.86 controls, Std Dev=0",EXP_009_node_3_0
10,node_3_1,SUCCEEDED,"'Prevention Failures' are predominantly associated with governance (Trust) gaps, whereas 'Detection' and 'Response' failures are significantly more associated with engineering (Integration) gaps.",0.7419,Likely True,0.376,Maybe False,-0.4247,Strong Negative (hypothesis contradicted),True,node_2_1,1,172.9,2026-02-20T21:49:01.963708+00:00,Map failure modes to competency domains.,"The experiment successfully loaded the dataset and categorized the 52 incidents by failure mode. However, the data revealed an extreme class imbalance: 51 incidents were classified as 'prevention_fail",EXP_010_node_3_1
