id,bundle,name,definition,observable_practices,candidate_metrics,constraints_addressed,source_types,evidence_strength,grounding_sources
AO-1,AI Orientation,CIO Strategic Centrality in AI Agenda-Setting,"The extent to which the CIO is a primary architect and driver of the organization’s AI strategy, shaping enterprise priorities and aligning technology investments with business outcomes.","CIO participates in or leads board-level discussions on AI strategy at least quarterly.; CIO has formal authority over AI investment decisions and portfolio prioritization.; CIO issues regular (e.g., quarterly) AI progress reports to the executive committee.",% of board meetings in the past year where the CIO presented on AI strategy; % of AI budget directly overseen by the CIO,Lack of clear business use cases (6); Difficulty measuring ROI/value (7); Talent/capability gaps (1),academic; practitioner,strong,"#32: 'CIOs are increasingly responsible for creating bottom-line growth... CIOs at these companies know that technology velocity, not just efficiency, is what it will take to fuel growth. AI has become a business imperative... CIOs should strive to fully rewire their organizations around AI to drive maximum innovation.'; #03: 'Leaders with such capabilities can use AI to enhance decision-making by producing actionable insights from predictive analytics, thus enhancing strategic decision-making. Dynamic managerial capabilities enable leaders to harness evolving technological advances and stay ahead in competition by dynamically using AI to simulate various scenarios and assess potential outcomes.'; #20: 'CIOs should lead on responsible AI, establish a modular and scalable architecture, and develop governance practices that help companies reap the benefits of experimentation... CIOs must prioritize use cases based on value, rethink processes, invest in change management, and build internal talent with a hybrid approach.'"
AO-2,AI Orientation,Strategic Intent and Prioritization of AI,"The explicit articulation and prioritization of AI as a core strategic imperative, reflected in formal strategy documents, investment priorities, and leadership communications.",AI is named as a top-three strategic priority in annual reports or strategy documents.; Organization maintains a published AI roadmap with defined milestones and KPIs.; Leadership communicates AI’s strategic importance in at least two enterprise-wide communications per year.,% of strategic planning cycles in which AI is a named priority; Existence of a board-approved AI strategy document (Y/N),Lack of clear business use cases (6); Internal resistance/change management (8),practitioner,moderate,"#32: 'AI has become a business imperative, with half of all companies identifying AI as a priority investment. Top performers invest heavily to scale agentic AI systems... Leading companies are rewiring around AI and embracing capability-led operating models to generate measurable ROI.'; #17: 'Leaders have more permission space than they realize, so it’s on them to be bold and capture the value of AI now.'"
AO-3,AI Orientation,Resource Commitment to AI Capabilities,"The degree to which the organization allocates dedicated financial, human, and technological resources to AI initiatives, including investment in talent, infrastructure, and scaling efforts.","Dedicated AI budget line item in annual financial statements.; Formal AI talent acquisition or upskilling programs launched in the past 12 months.; Investment in scalable AI platforms or infrastructure (e.g., cloud, MLOps) tracked and reported.",% of IT/technology budget allocated to AI initiatives; Number of FTEs dedicated to AI roles,Talent/capability gaps (1); Integration complexity with existing systems/tools (2); Lack of modern data foundations (5),practitioner,moderate,"#32: 'Top performers invest heavily to scale agentic AI systems... CIOs manage technology investment as a system that connects people, data, and strategy—not just a budget that needs to be tamed.'; #20: 'CIOs must prioritize use cases based on value, rethink processes, invest in change management, and build internal talent with a hybrid approach.'"
TR-1,Trust Readiness,AI Risk Policy and Accountability Structures,"The establishment and enforcement of clear, organization-wide policies and accountability frameworks governing the ethical, safe, and compliant use of AI systems.",Maintains a board-approved AI governance policy reviewed at least annually.; Assigns explicit accountability for AI risk management to named executives or committees.; Documents and communicates AI-related roles and responsibilities across business units.,% of AI projects covered by formal risk policies at initiation; Existence of a named executive with AI risk accountability (Y/N),Regulatory/privacy/compliance (4); Security/reliability/hallucinations (3); Internal resistance/change management (8),standard; practitioner; academic,strong,"#26: 'establishing specific requirements and obligations, including in respect of the transparency, technical documentation and record-keeping of AI systems.'; #21: 'GOVERN applies to all stages of organizations’ AI risk management processes and procedures.'; #25: 'Clear policies are essential to guide the ethical use of AI, including data privacy, algorithmic transparency, and AI-driven decision-making accountability.'; #15: 'Establishing governance requires defining standardized oversight processes, including ownership and responsibilities within AI onboarding, deployment, and offboarding procedures.'; #33: 'Microsoft established a full-time AI policy and ethics role to address ethical risks such as algorithmic bias and transparency.'"
TR-2,Trust Readiness,AI Evaluation and Monitoring Governance,"The systematic, ongoing evaluation and monitoring of AI system performance, alignment, and risk exposure, including mechanisms for anomaly detection, performance review, and auditability.",Implements automated monitoring for AI system outputs and anomalies.; Conducts periodic audits of AI models for compliance and alignment with intended purpose.; Maintains logs and documentation for all high-risk AI deployments.,% of high-risk AI systems with real-time monitoring enabled; Frequency of AI model audits per year,Security/reliability/hallucinations (3); Difficulty measuring ROI/value (7); Lack of modern data foundations (5),standard; practitioner,strong,"#21: 'Responsible AI practices can help align decisions about AI system design, development, and uses with intended aim and values ... Understanding and managing the risks of AI systems will help to enhance trustworthiness.'; #15: 'Organizations should establish regular performance reviews to evaluate whether agents remain aligned with their intended purpose ... monitoring and anomaly detection tied to KPIs.'; #25: 'Establishing a balanced governance approach ensures AI-enabled services contribute effectively to business objectives while adhering to ethical standards and organizational policies.'; #29: 'The project empowers organizations with actionable guidance and tools to ensure secure development, deployment, and governance of generative AI systems.'"
TR-3,Trust Readiness,Regulatory Compliance Translation Capability,"The organizational ability to interpret, operationalize, and demonstrate compliance with evolving AI regulations and standards across jurisdictions.","Maintains a compliance register mapping AI projects to applicable regulations (e.g., EU AI Act, NIST RMF).; Conducts regular compliance gap assessments for AI systems.; Provides documented evidence of compliance during regulatory audits.",% of AI systems with documented regulatory mapping; Number of compliance gaps identified and remediated per year,Regulatory/privacy/compliance (4); Security/reliability/hallucinations (3),standard; academic,strong,"#26: 'The obligations placed on various operators involved in the AI value chain under this Regulation should apply without prejudice to national law ... This Regulation aims to strengthen the effectiveness of such existing rights and remedies by establishing specific requirements and obligations.'; #25: 'Governance components include ... Principles, Policies, and Procedures ... Clear policies are essential to guide the ethical use of AI, including data privacy, algorithmic transparency, and AI-driven decision-making accountability.'; #21: 'AI risk management is a key component of responsible development and use of AI systems.'; #33: 'Microsoft has developed policies on facial recognition, bias mitigation, model transparency, and is working on legal remediation for AI harm.'"
TR-4,Trust Readiness,AI Incident Response and Recovery,"The preparedness and capability to detect, respond to, and recover from AI-related incidents, including security breaches, model failures, or ethical harms.",Maintains an AI-specific incident response plan reviewed and tested annually.; Conducts post-incident reviews and root cause analyses for AI-related incidents.; Implements sandboxing or isolation protocols for malfunctioning AI agents.,Mean time to detect and respond to AI incidents; Number of AI incidents with documented post-mortems,Security/reliability/hallucinations (3); Regulatory/privacy/compliance (4),practitioner; standard,strong,"#15: 'Organizations should develop a contingency plan, with proper security measures in place, for every critical agent ... Deploying an AI contingency plan and sandbox environment, in conjunction with IAM and guardrails, can effectively isolate an AI agent that attempts unauthorized privilege escalation.'; #21: 'AI risk management is a key component of responsible development and use of AI systems.'; #29: 'The project empowers organizations with actionable guidance and tools to ensure secure development, deployment, and governance of generative AI systems.'"
TR-5,Trust Readiness,Supply Chain and Third-Party AI Risk Governance,"The identification, assessment, and mitigation of risks arising from third-party AI components, vendors, and supply chain dependencies.",Conducts third-party risk assessments for all external AI vendors and components.; Maintains an inventory of all third-party AI dependencies with associated risk ratings.; Requires contractual assurances of compliance and security from AI suppliers.,% of third-party AI components with completed risk assessments; Number of supply chain-related AI incidents per year,Integration complexity with existing systems/tools (2); Security/reliability/hallucinations (3),standard; practitioner,strong,"#25: 'Supply chain and third-party AI risk governance.'; #29: 'The OWASP GenAI Security Project identifies critical security vulnerabilities in LLM applications, including ... supply chain vulnerabilities ... actionable guidance and tools to ensure secure development, deployment, and governance.'; #15: 'Supply chain and third-party AI risk governance.'"
IR-1,Integration Readiness,Agentic Architecture & Orchestration,"The design and implementation of modular, agent-compatible architectures and orchestration frameworks that enable scalable deployment and coordination of multiple AI agents across enterprise systems.","Maintains documented architecture diagrams specifying agent orchestration patterns (single vs. multi-agent).; Implements and updates standardized protocols (e.g., Model Context Protocol) for agent-to-agent and agent-to-system interactions.; Conducts regular reviews of orchestration frameworks for scalability and interoperability.",% of AI use cases deployed using standardized agent orchestration protocols; Number of documented multiagent workflows in production,Integration complexity with existing systems/tools; Talent/capability gaps,practitioner,strong,"#09: 'building agent-compatible architectures, implementing robust orchestration frameworks, and developing new management approaches for digital workers... Multiagent orchestration... enabled by evolving standards and protocols... microservices approach to AI'; #15: 'Are we prepared for agent-to-agent interactions, and are those connections secure?... Protocols to manage agentic interactions, such as Anthropic’s Model Context Protocol, Cisco’s Agent Connect Protocol, Google’s Agent2Agent protocol, and IBM’s Agent Communication Protocol, are under development but not yet fully mature.'"
IR-2,Integration Readiness,Lifecycle Governance & Operational Management,"The establishment of processes and controls for onboarding, monitoring, updating, and retiring AI agents, including cost management, performance tracking, and auditability throughout the agent lifecycle.",Implements onboarding and performance management protocols for each deployed agent.; Maintains immutable logs and cryptographic receipts for agent actions and decisions.; Conducts periodic lifecycle reviews and updates for all active agents.,% of agents with completed onboarding and performance review documentation; Frequency of lifecycle management audits per quarter,Security/reliability/hallucinations; Difficulty measuring ROI/value,practitioner,strong,"#09: 'Onboarding: Just as with human workers, agents will require onboarding processes... Performance management: Organizations will need systems to prove what agents did, why they made specific decisions... Life cycle management: Agents will require ongoing training updates, redeployment...'; #09: 'Organizations need specialized financial operations frameworks (or FinOps) to monitor and control agent-driven expenses... resource tagging, real-time monitoring, automated resource management including autoscaling and rightsizing, and strong governance frameworks to manage AI-specific expenditures.'; #11: 'LLMOps is the collection of tools and processes that manages the end-to-end process of developing, deploying, and maintaining LLM-based applications... Monitor covers tools and practices to assess and report on system and solution performance and health.'"
