req_id,source,function,requirement,bundle,competency_statement,Single-Agent Orchestration Pattern,Multi-Agent Orchestration Pattern,Tool-Use Boundaries & Least-Privilege Access,Human-in-the-Loop Approval Gates,Nondeterminism Controls & Output Validation,RAG Architecture & Data Grounding,GenAIOps / MLOps Lifecycle Governance,Evaluation & Monitoring Infrastructure,Prompt Management & Secret Handling,Scalable Modular Architecture (Archetypes),AI Risk Policy & Accountability Structures,Threat Modeling & Red-Teaming,Incident Response & Recovery Playbooks,Audit Logging & Telemetry,Regulatory Compliance Documentation,Supply Chain & Vendor Risk Controls,Data Governance & Access Controls,Human Override & Control Mechanisms
NIST-GV-1,NIST AI RMF 1.0,GOVERN,"Policies, processes, procedures and practices for mapping, measuring, and managing AI risks are in place, transparent, and implemented effectively.",Trust Readiness,"Organizations must formalize and transparently implement comprehensive AI risk management policies and procedures, ensuring these are consistently applied and documented across the AI lifecycle [#21][#25].",,,,,,,X,,,,X,,,,X,,,
NIST-GV-2,NIST AI RMF 1.0,GOVERN,Accountability structures empower appropriate teams and individuals for AI risk management.,Trust Readiness,A firm requires dedicated AI risk governance committees with cross-functional membership empowered to halt deployments when risk thresholds are breached [#21][#25].,,,,,,,,,,,X,,,,,,,
NIST-GV-3,NIST AI RMF 1.0,GOVERN,Organizational culture considers and communicates AI risk.,Trust Readiness,"Organizations must foster a culture where AI risks are openly discussed and communicated across all levels, supported by explicit risk governance policies [#21][#25].",,,,,,,,,,,X,,,,,,,
NIST-GV-4,NIST AI RMF 1.0,GOVERN,Organizational teams are committed to a culture that considers AI risk.,Trust Readiness,"Organizations should ensure that all teams are engaged in and committed to ongoing dialogue and education about AI risks, reinforced by governance frameworks [#21][#25].",,,,,,,,,,,X,,,,,,,
NIST-GV-5,NIST AI RMF 1.0,GOVERN,Senior leadership and board members understand and contribute to AI risk management.,Trust Readiness,Senior executives and board members must be educated on AI risk and actively participate in oversight and strategic decision-making for AI deployments [#21][#25].,,,,,,,,,,,X,,,,,,,
NIST-GV-6,NIST AI RMF 1.0,GOVERN,"Policies address AI risks from third-party software, data, and supply chain.",Trust Readiness,"Organizations must implement formal policies and controls to assess and mitigate AI risks arising from third-party software, data, and supply chain dependencies [#21][#25][#29].",,,,,,,,,,,,,,,,X,,
NIST-MP-1,NIST AI RMF 1.0,MAP,"Context established for AI system risks through understanding of intended purpose, impacts, and deployment context.",Integration Readiness,"Organizations must implement lifecycle governance and orchestration patterns that ensure AI systems are contextualized for their intended purpose, deployment environment, and impact [#21][#09][#11].",X,X,,,,,X,,,,,,,,,,,
NIST-MP-2,NIST AI RMF 1.0,MAP,Scientific findings and organizational practices integrated to characterize AI risks.,Integration Readiness,Organizations must operationalize mechanisms to integrate scientific evidence and organizational best practices into ongoing risk characterization and monitoring for AI systems [#21][#11].,,,,,,,X,X,,,,,,,,,,
NIST-MP-3,NIST AI RMF 1.0,MAP,AI risks and benefits mapped and prioritized by likelihood and magnitude of impact.,Integration Readiness,"Organizations must deploy robust evaluation and monitoring infrastructure to systematically map, prioritize, and track AI risks and benefits by likelihood and impact throughout the system lifecycle [#21][#11].",,,,,,,X,X,,,,,,,,,,
NIST-MP-4,NIST AI RMF 1.0,MAP,Risks and benefits understood by the organization and relevant AI actors.,Integration Readiness,Organizations must implement monitoring and feedback mechanisms that ensure AI risks and benefits are communicated and understood by all relevant stakeholders [#21][#11].,,,,,,,X,X,,,,,,,,,,
NIST-MP-5,NIST AI RMF 1.0,MAP,Practices and personnel for supporting AI risk identification are in place.,Trust Readiness,"Organizations must establish formal AI risk governance committees and structured processes for risk identification, including cross-functional teams empowered to proactively surface and escalate emerging AI risks [#21, #25].",,,,,,,,,,,X,X,,,,,,
NIST-MS-1,NIST AI RMF 1.0,MEASURE,AI risk measurement approaches are identified and applied.,Integration Readiness,"Organizations must implement robust evaluation and monitoring infrastructure to systematically apply and track AI risk measurement methodologies throughout the system lifecycle [#21, #11].",,,,,,,X,X,,,,,,,,,,
NIST-MS-2,NIST AI RMF 1.0,MEASURE,AI system evaluated for trustworthy characteristics.,Integration Readiness,"Organizations should deploy evaluation and monitoring systems capable of assessing AI systems for trustworthiness attributes such as reliability, safety, and fairness, including automated output validation where feasible [#21, #11].",,,,,X,,,X,,,,,,,,,,
NIST-MS-3,NIST AI RMF 1.0,MEASURE,AI system performance or assurance criteria are measured.,Integration Readiness,"Organizations must establish continuous monitoring systems to measure and report on AI system performance and assurance metrics, ensuring alignment with defined benchmarks [#21, #11].",,,,,,,,X,,,,,,,,,,
NIST-MS-4,NIST AI RMF 1.0,MEASURE,Feedback about efficacy of measurement incorporated into organizational processes.,Integration Readiness,"Organizations should implement feedback mechanisms within their monitoring infrastructure to iteratively refine measurement processes and improve AI system performance over time [#21, #11].",,,,,,,X,X,,,,,,,,,,
NIST-MG-1,NIST AI RMF 1.0,MANAGE,"A plan for managing AI risks is developed, monitored, and in place.",Trust Readiness,"Organizations must formalize and maintain an AI risk management plan, assigning clear accountability and ensuring regular oversight and updates as part of governance processes [#21, #25].",,,,,,,X,,,,X,,,,,,,
NIST-MG-2,NIST AI RMF 1.0,MANAGE,"Strategies to maximize AI benefits and minimize negative impacts are planned, implemented, and documented.",Trust Readiness,"Organizations must document and operationalize strategies to maximize AI benefits and mitigate negative impacts, ensuring these are embedded in governance and compliance frameworks [#21, #25].",,,,,,,,,,,X,,,,X,,,
NIST-MG-3,NIST AI RMF 1.0,MANAGE,AI risks and benefits from third-party entities are managed.,Trust Readiness,"Organizations must implement structured oversight and risk management processes for third-party AI vendors and supply chain partners, ensuring alignment with internal governance standards [#21, #25].",,,,,,,,,,,,,,,,X,,
